2018-05-17T08:01:06.591+0000 I NETWORK  [listener] connection accepted from 172.23.0.2:41676 #5 (3 connections now open)
2018-05-17T08:01:06.598+0000 I NETWORK  [conn5] received client metadata from 172.23.0.2:41676 conn5: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:06.615+0000 I STORAGE  [repl writer worker 0] createCollection: lily.storage with provided UUID: fb399622-b4aa-4f02-8b2f-f09b90cec275
2018-05-17T08:01:06.692+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:41466 #6 (4 connections now open)
2018-05-17T08:01:06.698+0000 I NETWORK  [conn6] received client metadata from 172.23.0.4:41466 conn6: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:06.783+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:34588 #7 (5 connections now open)
2018-05-17T08:01:06.789+0000 I NETWORK  [conn7] received client metadata from 172.23.0.3:34588 conn7: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:16.703+0000 I NETWORK  [conn6] end connection 172.23.0.4:41466 (4 connections now open)
2018-05-17T08:01:16.741+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:47306 #8 (5 connections now open)
2018-05-17T08:01:16.749+0000 I NETWORK  [conn8] received client metadata from 172.23.0.4:47306 conn8: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:16.799+0000 I NETWORK  [conn7] end connection 172.23.0.3:34588 (4 connections now open)
2018-05-17T08:01:16.834+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:40480 #9 (5 connections now open)
2018-05-17T08:01:16.837+0000 I NETWORK  [conn9] received client metadata from 172.23.0.3:40480 conn9: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.460+0000 I NETWORK  [conn9] end connection 172.23.0.3:40480 (4 connections now open)
2018-05-17T08:01:29.475+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Ending connection to host node1:27017 due to bad connection status; 2 connections to that host remain open
2018-05-17T08:01:29.475+0000 I REPL     [replication-0] Restarting oplog query due to error: NetworkInterfaceExceededTimeLimit: error in fetcher batch callback: Operation timed out. Last fetched optime (with hash): { ts: Timestamp(1526544079, 119), t: 1 }[-6338013247070485546]. Restarts remaining: 3
2018-05-17T08:01:29.476+0000 I REPL     [replication-0] Scheduled new oplog query Fetcher source: node1:27017 database: local query: { find: "oplog.rs", filter: { ts: { $gte: Timestamp(1526544079, 119) } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, batchSize: 13981010, term: 1, readConcern: { afterClusterTime: Timestamp(1526544079, 119) } } query metadata: { $replData: 1, $oplogQueryData: 1, $readPreference: { mode: "secondaryPreferred" } } active: 1 findNetworkTimeout: 65000ms getMoreNetworkTimeout: 10000ms shutting down?: 0 first: 1 firstCommandScheduler: RemoteCommandRetryScheduler request: RemoteCommand 8279 -- target:node1:27017 db:local cmd:{ find: "oplog.rs", filter: { ts: { $gte: Timestamp(1526544079, 119) } }, tailable: true, oplogReplay: true, awaitData: true, maxTimeMS: 60000, batchSize: 13981010, term: 1, readConcern: { afterClusterTime: Timestamp(1526544079, 119) } } active: 1 callbackHandle.valid: 1 callbackHandle.cancelled: 0 attempt: 1 retryPolicy: RetryPolicyImpl maxAttempts: 1 maxTimeMillis: -1ms
2018-05-17T08:01:29.486+0000 I NETWORK  [conn8] end connection 172.23.0.4:47306 (3 connections now open)
2018-05-17T08:01:29.503+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:42200 #10 (4 connections now open)
2018-05-17T08:01:29.506+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:42210 #11 (5 connections now open)
2018-05-17T08:01:29.509+0000 I NETWORK  [conn11] received client metadata from 172.23.0.3:42210 conn11: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.513+0000 I NETWORK  [conn10] received client metadata from 172.23.0.3:42200 conn10: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.530+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:42214 #12 (6 connections now open)
2018-05-17T08:01:29.532+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:42222 #13 (7 connections now open)
2018-05-17T08:01:29.535+0000 I NETWORK  [conn12] received client metadata from 172.23.0.3:42214 conn12: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.538+0000 I NETWORK  [conn13] received client metadata from 172.23.0.3:42222 conn13: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.562+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:49134 #14 (8 connections now open)
2018-05-17T08:01:29.563+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:49138 #15 (9 connections now open)
2018-05-17T08:01:29.565+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:49142 #16 (10 connections now open)
2018-05-17T08:01:29.570+0000 I NETWORK  [listener] connection accepted from 172.23.0.4:49154 #17 (11 connections now open)
2018-05-17T08:01:29.571+0000 I NETWORK  [conn14] received client metadata from 172.23.0.4:49134 conn14: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.572+0000 I NETWORK  [conn15] received client metadata from 172.23.0.4:49138 conn15: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.572+0000 I NETWORK  [conn16] received client metadata from 172.23.0.4:49142 conn16: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.575+0000 I NETWORK  [conn17] received client metadata from 172.23.0.4:49154 conn17: { driver: { name: "nodejs", version: "3.1.0-beta4" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.9.87-linuxkit-aufs" }, platform: "Node.js v8.11.2, LE, mongodb-core: 3.1.0-beta4" }
2018-05-17T08:01:29.588+0000 I REPL     [replexec-3] Starting an election, since we've seen no PRIMARY in the past 10000ms
2018-05-17T08:01:29.589+0000 I REPL     [replexec-3] conducting a dry run election to see if we could be elected. current term: 1
2018-05-17T08:01:29.589+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to node1:27017
2018-05-17T08:01:29.590+0000 I REPL     [replexec-1] VoteRequester(term 1 dry run) received a yes vote from node3:27017; response message: { term: 1, voteGranted: true, reason: "", ok: 1.0, operationTime: Timestamp(1526544079, 115), $clusterTime: { clusterTime: Timestamp(1526544079, 119), signature: { hash: BinData(0, 0000000000000000000000000000000000000000), keyId: 0 } } }
2018-05-17T08:01:29.591+0000 I REPL     [replexec-1] dry election run succeeded, running for election in term 2
2018-05-17T08:01:29.592+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to node1:27017
2018-05-17T08:01:29.594+0000 I REPL     [replexec-1] VoteRequester(term 2) received a yes vote from node3:27017; response message: { term: 2, voteGranted: true, reason: "", ok: 1.0, operationTime: Timestamp(1526544079, 115), $clusterTime: { clusterTime: Timestamp(1526544079, 119), signature: { hash: BinData(0, 0000000000000000000000000000000000000000), keyId: 0 } } }
2018-05-17T08:01:29.594+0000 I REPL     [replexec-1] election succeeded, assuming primary role in term 2
2018-05-17T08:01:29.594+0000 I REPL     [replexec-1] transition to PRIMARY from SECONDARY
2018-05-17T08:01:29.595+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Ending connection to host node1:27017 due to bad connection status; 2 connections to that host remain open
2018-05-17T08:01:29.596+0000 I REPL     [replexec-1] Entering primary catch-up mode.
2018-05-17T08:01:29.596+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to node1:27017
2018-05-17T08:01:30.127+0000 I REPL_HB  [replexec-8] Error in heartbeat (requestId: 8289) to node1:27017, response status: NetworkInterfaceExceededTimeLimit: Couldn't get a connection within the time limit
2018-05-17T08:01:30.127+0000 I REPL     [replexec-8] Member node1:27017 is now in state RS_DOWN
2018-05-17T08:01:30.128+0000 I REPL     [replexec-8] Caught up to the latest optime known via heartbeats after becoming primary.
2018-05-17T08:01:30.128+0000 I REPL     [replexec-8] Exited primary catch-up mode.
2018-05-17T08:01:30.128+0000 I ASIO     [NetworkInterfaceASIO-RS-0] Ending connection to host node1:27017 due to bad connection status; 1 connections to that host remain open
2018-05-17T08:01:30.129+0000 I REPL     [rsBackgroundSync] Replication producer stopped after oplog fetcher finished returning a batch from our sync source.  Abandoning this batch of oplog entries and re-evaluating our sync source.
2018-05-17T08:01:30.481+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:42286 #18 (12 connections now open)
