2018-06-12 16:50:47,534{GMT}	INFO	[jepsen test runner] jepsen.core: Running test:
 {:concurrency 12,
 :db
 #object[jepsen.db$reify__1266 0x1716e8c5 "jepsen.db$reify__1266@1716e8c5"],
 :name "memdb",
 :start-time
 #object[org.joda.time.DateTime 0x2f4c2cd4 "2018-06-12T16:50:47.000Z"],
 :net
 #object[jepsen.net$reify__378 0x50fb33a "jepsen.net$reify__378@50fb33a"],
 :client {},
 :barrier
 #object[java.util.concurrent.CyclicBarrier 0x60c8a093 "java.util.concurrent.CyclicBarrier@60c8a093"],
 :checker
 #object[jepsen.checker$compose$reify__3207 0x291373d3 "jepsen.checker$compose$reify__3207@291373d3"],
 :nemesis
 #object[mongo_http.isolate$nemesis$reify__2606 0x4dba773d "mongo_http.isolate$nemesis$reify__2606@4dba773d"],
 :active-histories #<Atom@5ea4300e: #{}>,
 :nodes ["node1" "node2" "node3"],
 :generator
 #object[jepsen.generator$time_limit$reify__1895 0x12eedfee "jepsen.generator$time_limit$reify__1895@12eedfee"],
 :os
 #object[jepsen.os$reify__1183 0xb887730 "jepsen.os$reify__1183@b887730"],
 :model {:value 0}}

2018-06-12 16:50:49,018{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,022{GMT}	INFO	[jepsen worker 0] jepsen.util: 0	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,029{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,034{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:invoke	:write	["node1" 3]
2018-06-12 16:50:49,045{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,091{GMT}	INFO	[jepsen worker 8] jepsen.util: 8	:ok	:write	["node3" 2]
2018-06-12 16:50:49,093{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:ok	:read	["node3" 2]
2018-06-12 16:50:49,097{GMT}	INFO	[jepsen worker 9] jepsen.util: 9	:ok	:read	["node3" 2]
2018-06-12 16:50:49,107{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:ok	:read	["node2" 2]
2018-06-12 16:50:49,107{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:ok	:read	["node3" 2]
2018-06-12 16:50:49,122{GMT}	INFO	[jepsen worker 0] jepsen.util: 0	:ok	:read	["node1" 2]
2018-06-12 16:50:49,128{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:ok	:read	["node1" 2]
2018-06-12 16:50:49,152{GMT}	INFO	[jepsen worker 8] jepsen.util: 8	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,162{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,166{GMT}	INFO	[jepsen worker 9] jepsen.util: 9	:invoke	:write	["node3" 3]
2018-06-12 16:50:49,172{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,177{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,179{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:ok	:write	["node1" 3]
2018-06-12 16:50:49,179{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:ok	:read	["node1" 3]
2018-06-12 16:50:49,182{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,182{GMT}	INFO	[jepsen worker 0] jepsen.util: 0	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,199{GMT}	INFO	[jepsen worker 4] jepsen.util: 4	:ok	:write	["node2" 3]
2018-06-12 16:50:49,224{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:ok	:read	["node3" 2]
2018-06-12 16:50:49,226{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:ok	:read	["node2" 2]
2018-06-12 16:50:49,228{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,234{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:invoke	:write	["node1" 4]
2018-06-12 16:50:49,248{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:ok	:read	["node3" 3]
2018-06-12 16:50:49,249{GMT}	INFO	[jepsen worker 9] jepsen.util: 9	:ok	:write	["node3" 3]
2018-06-12 16:50:49,252{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,271{GMT}	INFO	[jepsen worker 0] jepsen.util: 0	:ok	:read	["node1" 3]
2018-06-12 16:50:49,244{GMT}	INFO	[jepsen worker 4] jepsen.util: 4	:invoke	:write	["node2" 4]
2018-06-12 16:50:49,302{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,332{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:ok	:read	["node2" 3]
2018-06-12 16:50:49,349{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:ok	:read	["node1" 3]
2018-06-12 16:50:49,355{GMT}	INFO	[jepsen worker 9] jepsen.util: 9	:invoke	:write	["node3" 4]
2018-06-12 16:50:49,358{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,374{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:ok	:read	["node2" 3]
2018-06-12 16:50:49,388{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,395{GMT}	INFO	[jepsen worker 8] jepsen.util: 8	:ok	:read	["node3" 3]
2018-06-12 16:50:49,408{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:ok	:read	["node2" 3]
2018-06-12 16:50:49,408{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:ok	:read	["node3" 3]
2018-06-12 16:50:49,412{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:ok	:read	["node1" 4]
2018-06-12 16:50:49,415{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:ok	:write	["node1" 4]
2018-06-12 16:50:49,421{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,409{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,429{GMT}	INFO	[jepsen worker 8] jepsen.util: 8	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,431{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,454{GMT}	INFO	[jepsen worker 9] jepsen.util: 9	:ok	:write	["node3" 4]
2018-06-12 16:50:49,454{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:ok	:read	["node3" 3]
2018-06-12 16:50:49,455{GMT}	INFO	[jepsen worker 0] jepsen.util: 0	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,455{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,457{GMT}	INFO	[jepsen worker 4] jepsen.util: 4	:ok	:write	["node2" 4]
2018-06-12 16:50:49,478{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,479{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:invoke	:write	["node1" 5]
2018-06-12 16:50:49,500{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:invoke	:write	["node3" 5]
2018-06-12 16:50:49,504{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:ok	:read	["node2" 3]
2018-06-12 16:50:49,511{GMT}	INFO	[jepsen worker 9] jepsen.util: 9	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,513{GMT}	INFO	[jepsen worker 4] jepsen.util: 4	:invoke	:write	["node2" 5]
2018-06-12 16:50:49,532{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,533{GMT}	INFO	[jepsen worker 8] jepsen.util: 8	:ok	:read	["node3" 4]
2018-06-12 16:50:49,537{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:ok	:read	["node1" 4]
2018-06-12 16:50:49,562{GMT}	INFO	[jepsen worker 8] jepsen.util: 8	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,575{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,576{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:ok	:read	["node2" 4]
2018-06-12 16:50:49,576{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:ok	:read	["node3" 4]
2018-06-12 16:50:49,584{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:ok	:write	["node1" 5]
2018-06-12 16:50:49,585{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:ok	:read	["node2" 4]
2018-06-12 16:50:49,602{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,610{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,589{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:ok	:read	["node2" 4]
2018-06-12 16:50:49,621{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,569{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:ok	:read	["node1" 4]
2018-06-12 16:50:49,628{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,631{GMT}	INFO	[jepsen worker 4] jepsen.util: 4	:ok	:write	["node2" 5]
2018-06-12 16:50:49,640{GMT}	INFO	[jepsen worker 0] jepsen.util: 0	:ok	:read	["node1" 5]
2018-06-12 16:50:49,645{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:invoke	:write	["node1" 6]
2018-06-12 16:50:49,648{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:ok	:write	["node3" 5]
2018-06-12 16:50:49,650{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,661{GMT}	INFO	[jepsen worker 8] jepsen.util: 8	:ok	:read	["node3" 5]
2018-06-12 16:50:49,661{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:ok	:read	["node2" 5]
2018-06-12 16:50:49,663{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:ok	:read	["node1" 5]
2018-06-12 16:50:49,672{GMT}	INFO	[jepsen worker 4] jepsen.util: 4	:invoke	:write	["node2" 6]
2018-06-12 16:50:49,684{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:invoke	:write	["node3" 6]
2018-06-12 16:50:49,685{GMT}	INFO	[jepsen worker 0] jepsen.util: 0	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,685{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,684{GMT}	INFO	[jepsen worker 8] jepsen.util: 8	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,686{GMT}	INFO	[jepsen worker 9] jepsen.util: 9	:ok	:read	["node3" 5]
2018-06-12 16:50:49,707{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,710{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:ok	:read	["node1" 5]
2018-06-12 16:50:49,709{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:ok	:read	["node3" 5]
2018-06-12 16:50:49,734{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,733{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:ok	:read	["node2" 5]
2018-06-12 16:50:49,736{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:ok	:write	["node1" 6]
2018-06-12 16:50:49,738{GMT}	INFO	[jepsen worker 9] jepsen.util: 9	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,745{GMT}	INFO	[jepsen worker 10] jepsen.util: 10	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,749{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,755{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:invoke	:write	["node1" 7]
2018-06-12 16:50:49,758{GMT}	INFO	[jepsen worker 8] jepsen.util: 8	:ok	:read	["node3" 5]
2018-06-12 16:50:49,761{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:ok	:read	["node2" 5]
2018-06-12 16:50:49,796{GMT}	INFO	[jepsen worker 8] jepsen.util: 8	:invoke	:read	["node3" nil]
2018-06-12 16:50:49,799{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,808{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:ok	:read	["node2" 5]
2018-06-12 16:50:49,818{GMT}	INFO	[jepsen worker 5] jepsen.util: 5	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,824{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:ok	:read	["node2" 6]
2018-06-12 16:50:49,837{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:ok	:read	["node1" 7]
2018-06-12 16:50:49,834{GMT}	INFO	[jepsen worker 1] jepsen.util: 1	:ok	:read	["node1" 6]
2018-06-12 16:50:49,839{GMT}	INFO	[jepsen worker 3] jepsen.util: 3	:ok	:write	["node1" 7]
2018-06-12 16:50:49,842{GMT}	INFO	[jepsen worker 11] jepsen.util: 11	:ok	:write	["node3" 6]
2018-06-12 16:50:49,863{GMT}	INFO	[jepsen worker 2] jepsen.util: 2	:invoke	:read	["node1" nil]
2018-06-12 16:50:49,863{GMT}	INFO	[jepsen worker 7] jepsen.util: 7	:invoke	:read	["node2" nil]
2018-06-12 16:50:49,866{GMT}	INFO	[jepsen worker 0] jepsen.util: 0	:ok	:read	["node1" 6]
2018-06-12 16:50:49,871{GMT}	INFO	[jepsen worker 6] jepsen.util: 6	:ok	:read	["node2" 6]
